abolish
deteriorate
deteriorating
detest
detested
detesting
detests
detract
detracted
detracting
detracts
devastate
devastated
devastates
devastating
deviate
devil
die
die-hard
died
dies
dilapidated
dilly-dally
dim
din
ding
dings
dirty
disable
disabled
disaccord
disadvantage
disadvantaged
disadvantages
disaffect
disaffected
disagree
disagreed
disagreeing
disagrees
disallow
disappoint
disappointed
disappointing
disappoints
disapprove
disapproving
disarm
disarray
disavow
disbelieve
disclaim
discombobulate
discomfit
discompose
disconcert
disconcerted
disconcerting
discontent
discontented
discontinued
discord
discountenance
discourage
discouraging
discredit
discriminate
disdain
disdained
disfavor
disgrace
disgraced
disgruntle
disgruntled
disgust
disgusted
disgusting
dishearten
disheartening
dishonor
disillusion
disillusioned
disillusions
disinclined
disintegrate
disintegrated
disintegrates
dislike
disliked
dislikes
disliking
dislocated
dismay
dismayed
dismaying
disobey
disorder
disordered
disorganized
disorient
disoriented
disown
disparage
disparaging
dispirit
dispirited
dispiriting
displace
displaced
displease
displeased
displeasing
disprove
dispute
disputed
disquiet
disquieting
disregard
disrespect
disrespecting
disrupt
diss
dissatisfied
dissatisfies
dissatisfy
dissatisfying
dissed
dissemble
dissent
disses
dissing
dissuade
distort
distorted
distorts
distract
distracting
distress
distressed
distressing
distrust
distrusting
disturb
disturbed
disturbing
dizzy
doddering
dogged
domineer
domineering
doom
doomed
dope
doubt
doubts
downgrade
drag
dragged
dragging
dragoon
drags
drain
drained
draining
drains
dread
dripped
dripping
drips
drones
droop
droops
drop-out
drop-outs
drowning
drunk
dull
dumbfound
dump
dumped
dumping
dumps
dupe
dust
dwindling
dying
emaciated
emasculate
embarrass
embarrassing
embroil
embroiled
encroach
endanger
enervate
enfeeble
engulf
enjoin
enrage
enraged
enraging
enslave
entangle
entrap
erase
erode
erodes
err
eschew
estranged
evade
eviscerate
exacerbate
exaggerate
exasperate
exasperated
exasperating
excoriate
excruciating
excuse
excuses
execrate
exhaust
exhausted
exhausts
exhort
exile
expel
expire
expired
explode
exploit
expropriate
expunge
exterminate
extinguish
extort
fabricate
fail
failed
failing
fails
faint
fake
fall
fallen
falling
falls
falsify
falter
faltered
famished
far-fetched
fat
fat-cat
fat-cats
fatigue
fatigued
fault
faults
faze
fear
fears
feign
feint
fell
fib
fidget
finagle
fissures
flabbergast
flabbergasted
flagging
flake
flaking
flare
flares
flat-out
flaunt
flaw
flawed
flaws
flee
fleed
fleeing
flees
fleeting
flicker
flickering
flickers
flirt
floored
flounder
floundering
flout
fluster
fool
fooled
forbid
forbidden
forbidding
foreboding
forfeit
forged
forsake
forsaken
forswear
foul
fracture
fragmented
frazzle
frazzled
freak
freaking
freaks
freeze
freezes
freezing
fret
frets
fried
fright
frighten
frightening
frost
frown
froze
frozen
frustrate
frustrated
frustrates
frustrating
fuck
fucking
fudge
full-blown
fulminate
fumble
fume
fumes
fuss
gabble
gainsay
gall
galling
galls
gape
gasp
gawk
get-rich
ghosting
gibber
gibe
glare
glower
glut
gnawing
goad
goading
goof
gossip
graft
grapple
grate
grating
grieve
grieving
grimace
grind
gripe
gripes
gross
grouch
grouse
growl
grudge
grudges
grudging
grumble
gutter
hack
hacks
haggle
hallucinate
hamper
hampered
handicapped
hang
hangs
harangue
harass
harassed
harasses
harboring
harbors
hard-hit
hard-line
harden
hardened
harm
harmed
harms
harried
harrow
hassle
hassled
hassles
hate
hated
hates
hating
haunt
haunting
hazard
haze
head-aches
heavy-handed
heckle
heckled
heckles
hedge
hell-bent
high-priced
hinder
hiss
hissed
hissing
ho-hum
hoard
hoax
hobble
hogs
hollow
hoodwink
horrified
horrifies
horrify
horrifying
horrifys
huckster
hum
humiliate
humiliating
humming
hung
hurt
hurted
hurting
hurts
idle
ignore
ill-advised
ill-conceived
ill-defined
ill-designed
ill-fated
ill-favored
ill-formed
ill-sorted
ill-tempered
ill-treated
ill-used
immobilized
impair
impaired
impeach
impede
impending
imperil
impinge
implicate
implode
importune
impose
imposing
impoverish
impoverished
imprecate
imprison
impugn
incense
incite
inconvenience
inculcate
indoctrinate
indulge
infected
infest
infested
inflame
inflated
inflict
infringe
infuriate
infuriated
infuriating
inhibit
injure
insinuate
insinuating
instigate
insult
insulted
insulting
insults
interfere
interferes
interrupt
intimidate
intimidating
intoxicate
intrude
inundate
inundated
invalid
invalidate
inveigle
irk
irked
irking
irks
irritate
irritated
irritating
isolate
isolated
issue
issues
itch
itching
jabber
jaded
jagged
jam
jarring
jaundiced
jeer
jeering
jeers
jeopardize
jerk
job-killing
joke
jolt
judder
juddering
judders
junk
kill
killed
killing
kills
knife
knock
knotted
lack
lacked
lacking
lacks
lag
lagged
lagging
lags
laid-off
lambast
lambaste
lame
lame-duck
lament
languish
lapse
lapsed
lapses
last-ditch
leak
leaking
leaks
leech
leer
left-leaning
less-developed
lesser-known
lie
lied
lies
life-threatening
limit
limited
limits
limp
little-known
loathe
loathing
long-time
long-winded
longing
loose
loot
lose
loses
losing
lost
low-rated
lull
lurch
lure
lurk
lurking
lying
madden
maddening
madder
maledict
malign
mangle
mangled
mangles
mangling
manipulate
mar
martyrdom-seeking
mashed
massacre
massacres
matte
meddle
menace
menacing
mess
messed
messes
messing
miff
mire
misalign
misaligned
misaligns
misapprehend
misbehave
miscalculate
misgiving
misguide
misguided
mishandle
misinform
misinformed
misinterpret
misjudge
mislead
misleading
mismanage
mispronounce
mispronounced
mispronounces
misread
misreading
misrepresent
miss
missed
misses
mist
mistake
mistaken
mistakes
mistrust
mists
misunderstand
misunderstanding
misunderstood
misuse
moan
mock
mocked
mocking
mocks
molest
moot
mope
mortified
mortify
mortifying
motley
mourn
muddle
muddy
murder
muscle-flexing
mystify
nag
nagging
nauseate
nauseates
nauseating
negate
negative
negatives
neglect
neglected
nettle
niggle
niggles
nitpick
nitpicking
noise
noises
numb
object
obliterate
obliterated
obscure
obscured
obscures
obsess
obstinate
obstruct
obstructed
obstructing
obstructs
occlude
occluded
occludes
occluding
offend
offending
omit
one-sided
oppose
oppress
orphan
ostracize
outcry
outlaw
outmoded
outrage
outraged
outrages
over-acted
over-awe
over-balanced
over-priced
overact
overacted
overawe
overbalance
overbalanced
overbearing
overdo
overdone
overemphasize
overheat
overloaded
overlook
overpaid
overpayed
overplay
overpower
overpriced
overrated
overreach
overrun
overshadow
oversimplified
oversimplify
overstate
overstated
overstates
overtaxed
overthrow
overthrows
overturn
overwhelm
overwhelmed
overwhelming
overwhelms
pain
pains
pale
pales
pan
pander
pandering
panders
panic
panicked
panicking
paralyzed
parody
patronize
peeled
peeve
peeved
penalize
peril
perish
perplex
perplexed
perplexing
persecute
perturb
perturbed
pervert
perverted
perverts
petrified
petrify
pettifog
picket
picketed
picketing
pickets
pig
pigs
pillage
pillory
pinch
pique
pity
plagiarize
plague
plight
plot
plunder
poison
polemize
pollute
posturing
pout
prate
prattle
precipitate
prejudge
prejudice
prejudices
premeditated
preoccupy
pretend
prevaricate
prick
prickle
prickles
procrastinate
procrastinates
profane
prohibit
propagandize
prosecute
protest
protested
protesting
protests
protracted
provoke
pry
punch
punish
puzzled
puzzling
quack
quarrel
quarrels
quash
queer
quibble
quibbles
rage
ragged
raging
rail
raked
rampage
rankle
rant
ranted
ranting
rants
rape
raped
raping
rattle
rattled
rattles
ravage
raving
rebuff
rebuke
recant
recoil
refuse
refused
refuses
refusing
refute
refuted
refutes
refuting
regress
regret
regreted
regrets
regretted
reject
rejected
rejecting
rejects
relapse
renounce
repel
repress
reprimand
reproach
reprove
repudiate
repugn
repulse
repulsed
repulsing
resent
resigned
restrict
restricted
retaliate
retard
retarded
retards
retract
retreat
retreated
revenge
revert
revile
reviled
revoke
revolt
revolting
rhapsodize
ridicule
ridicules
rile
riled
rip
rip-off
ripped
risk
risks
rival
rot
rough
rubbish
rue
ruffle
ruin
ruined
ruining
ruins
rumbling
rumor
rumors
rumours
rumple
run-down
rupture
rust
rusts
rut
ruts
sabotage
sack
sacrificed
sadden
sag
sagged
sagging
sags
sap
sass
satirize
savage
savaged
savages
scam
scams
scandalize
scandalized
scant
scar
scare
scared
scarred
scars
scoff
scold
scolded
scolding
scorching
scorn
scourge
scowl
scramble
scrambled
scrambles
scrambling
scrap
scratch
scratched
scratches
scream
screech
screw-up
screwed
screwed-up
scuff
scuffs
second-class
second-tier
seethe
seething
self-defeating
self-interest
self-interested
self-serving
semi-retarded
sermonize
set-up
sever
shake
shallow
sham
shambles
shame
shark
shatter
shimmer
shimmy
shipwreck
shirk
shit
shiver
shock
shocked
shocking
short-lived
shriek
shrill
shrivel
shroud
shrouded
shrug
shun
shunned
sick
sicken
sickening
sidetrack
sidetracked
sin
sink
sinking
skulk
slack
slander
slanders
slap
slashing
slaughter
slaughtered
slave
slaves
slime
slog
slogged
slogging
slogs
slow
slow-moving
slowed
slug
slump
slumping
slur
smack
smash
smear
smell
smelled
smelling
smells
smelt
smoke
smolder
smoldering
smother
smoulder
smouldering
smudge
smudged
smudges
smudging
smut
snag
snagged
snagging
snags
snare
snarl
sneak
sneer
sneering
snub
sob
sober
sobering
sorrow
sour
spade
spank
spew
spewed
spewing
spews
spilling
spite
splatter
split
splitting
spoil
spoiled
spoils
spook
spoon-feed
spurn
sputter
squabble
squabbling
squander
squash
squeak
squeaks
squeal
squealing
squeals
squirm
stab
stagnate
stain
stains
stale
stalemate
stall
stalls
stammer
stampede
startle
startling
starve
steal
stealing
steals
steep
stereotype
stew
stifle
stifling
stigmatize
sting
stinging
stink
stinks
stole
stolen
stooge
stooges
straggle
strain
strained
straining
strangle
stress
stresses
strike
struck
struggle
struggled
struggles
struggling
strut
stuck
stumble
stumbled
stumbles
stump
stumped
stumps
stun
stunt
stunted
stutter
stuttered
stuttering
stutters
stymied
sub-par
subdued
subjected
subjugate
subordinate
subpoena
subpoenas
subtract
subvert
succumb
suck
sucked
sucks
sue
sued
sueing
sues
suffer
suffered
suffering
suffers
suffocate
sugar-coat
sugar-coated
sugarcoated
sulk
sully
sunder
sunk
sunken
suppress
surrender
suspect
swagger
swamped
swelled
swelling
swindle
swipe
swollen
taboo
taint
tainted
tamper
tangle
tangled
tangles
tank
tanked
tanks
tarnish
tarnished
tarnishes
tarnishing
taunt
taunting
taunts
taxing
tease
temper
tense
terrorize
thirst
thrash
threaten
threatening
throb
throbbed
throbbing
throbs
throttle
thumb-down
thumbs-down
thwart
time-consuming
tin-y
tingled
tingling
tired
tiring
toil
toll
top-heavy
topple
torment
tormented
torture
tortured
tortures
torturing
tout
touted
touts
traduce
tramp
trample
transgress
trap
traped
trapped
trash
trashed
traumatize
traumatized
travesties
travesty
trick
tricked
trivialize
trouble
troubled
troubles
troubling
tumble
tumbled
tumbles
twist
twisted
twists
two-faced
two-faces
undercut
undercuts
undercutting
underestimate
undermine
undermined
undermines
undermining
underpaid
undid
undone
unfit
unleash
unnerve
unnerved
unnerving
unravel
unraveled
unsettle
unsettled
unsettling
upbraid
uprising
uproot
upset
upsetting
upsets
upsetting
usurp
vent
vex
vexing
vibrate
vibrated
vibrates
vibrating
victimize
vilify
violate
vomit
vomited
vomiting
vomits
wail
wallow
wane
waning
wanton
war-like
warned
warning
warp
warped
washed-out
waste
wasted
wasting
water-down
watered-down
weaken
weakening
weary
wedge
weed
weep
wheedle
whimper
whine
whining
whips
whore
whores
wilt
wince
wobble
wobbled
wobbles
womanizing
worn
worried
worries
worry
worrying
worsen
worsening
worst
wound
wounds
wrangle
wreak
wreaked
wreaks
wreck
wrest
wrestle
wrinkle
wrinkled
wrinkles
writhe
wrong
wrought
yawn
zap
zapped
zaps
